rank,prev_rank,name,league,off,def,spi
569,569,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
570,582,Cheltenham Town,English League Two,0.61,1.96,17.34
571,571,Accrington Stanley,English League One,0.62,1.97,17.25
572,573,St Johnstone,Scottish Premiership,0.61,1.97,17.13
573,574,Charleston Battery,United Soccer League,0.59,1.94,16.89
574,577,Milton Keynes Dons,English League One,0.61,1.99,16.88
575,566,Polokwane City FC,South African ABSA Premier League,0.53,1.86,16.64
576,570,Trapani,Italy Serie B,0.59,1.99,16.54
577,576,Shrewsbury Town,English League One,0.46,1.74,16.54
578,581,Chippa United,South African ABSA Premier League,0.36,1.54,16.36
579,578,Portland Timbers 2,United Soccer League,0.99,2.7,16.3
580,579,Loudoun United FC,United Soccer League,0.95,2.65,16.21
581,580,Ottawa Fury FC,United Soccer League,0.59,2.01,16.19
582,572,Juve Stabia,Italy Serie B,0.54,1.93,16.06
583,583,Northampton Town,English League Two,0.63,2.16,15.43
584,585,Central Coast Mariners,Australian A-League,0.7,2.32,15.03
585,596,Exeter City,English League Two,0.52,1.99,14.85
586,586,AmaZulu,South African ABSA Premier League,0.36,1.69,14.7
587,587,Tranmere Rovers,English League One,0.6,2.17,14.67
588,589,Crewe Alexandra,English League Two,0.6,2.18,14.62
589,590,AFC Wimbledon,English League One,0.52,2.02,14.54
590,591,Charlotte Independence,United Soccer League,0.6,2.19,14.44
591,599,Baroka FC,South African ABSA Premier League,0.33,1.64,14.39
592,592,Kalmar FF,Swedish Allsvenskan,0.47,1.95,14.35
593,584,Plymouth Argyle,English League Two,0.53,2.06,14.31
594,594,Vasby United,Swedish Allsvenskan,0.49,1.99,14.3
595,595,Saint Louis FC,United Soccer League,0.45,1.94,13.98
596,593,Black Leopards,South African ABSA Premier League,0.45,1.94,13.94
597,597,Oklahoma City Energy FC,United Soccer League,0.58,2.22,13.81
598,598,Rio Grande Valley FC Toros,United Soccer League,0.58,2.22,13.81
599,601,Falkenbergs FF,Swedish Allsvenskan,0.57,2.24,13.42
600,588,Forest Green Rovers,English League Two,0.38,1.85,13.27
601,602,Colchester United,English League Two,0.43,1.97,13.22
602,605,Rochdale,English League One,0.48,2.18,12.2
603,603,Las Vegas Lights FC,United Soccer League,0.57,2.39,12.05
604,600,Mansfield Town,English League Two,0.48,2.21,12.03
605,607,Hartford Athletic,United Soccer League,0.78,2.88,11.42
606,604,Oldham Athletic,English League Two,0.45,2.21,11.37
607,606,Salford City,English League Two,0.43,2.22,10.87
608,608,Stellenbosch FC,South African ABSA Premier League,0.33,2.01,10.74
609,609,Bolton,English League One,0.49,2.4,10.49
610,610,Swope Park Rangers,United Soccer League,0.68,2.87,9.98
611,611,Birmingham Legion FC,United Soccer League,0.39,2.26,9.95
612,612,Bethlehem Steel FC,United Soccer League,0.71,2.98,9.62
613,613,Southend United,English League One,0.58,2.76,9.37
614,616,Newport County,English League Two,0.2,1.88,9.13
615,614,Atlanta United 2,United Soccer League,0.62,2.88,9.09
616,615,Tacoma Defiance,United Soccer League,0.57,2.78,9.08
617,617,Memphis 901 FC,United Soccer League,0.32,2.23,8.92
618,618,Tulsa Roughnecks,United Soccer League,0.47,2.63,8.56
619,619,Leyton Orient,English League Two,0.41,2.5,8.53
620,620,Cambridge United,English League Two,0.21,2.03,8.23
621,621,Stevenage,English League Two,0.2,2.02,8.12
622,624,Carlisle United,English League Two,0.28,2.38,7.26
623,623,Crawley Town,English League Two,0.3,2.44,7.24
624,626,Macclesfield,English League Two,0.2,2.19,7.03
625,627,Walsall,English League Two,0.2,2.19,7.0
626,622,Port Vale,English League Two,0.2,2.2,6.95
627,625,Grimsby Town,English League Two,0.2,2.23,6.79
628,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.45,5.6
629,629,Morecambe,English League Two,0.2,2.5,5.37
